,Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
4587,Afghanistan,AFG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,39.3,38.9,37.1,44.2,44.1
4590,Afghanistan,AFG,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,56.1,51.7,42.0,43.3,42.2
4595,Afghanistan,AFG,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
4629,Afghanistan,AFG,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,173.0
4633,Afghanistan,AFG,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,178.0
4792,Albania,ALB,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,58.1,64.2,66.8,67.0,67.7
4795,Albania,ALB,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,61.4,65.3,64.8,64.9,65.2
4800,Albania,ALB,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,14.1,14.1,14.0,14.0,14.1
4834,Albania,ALB,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,82.0
4838,Albania,ALB,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,123.0
4997,Algeria,DZA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,44.2,46.1,46.2,48.5,48.6
5000,Algeria,DZA,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,46.0,53.9,53.9,53.9,53.9
5005,Algeria,DZA,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,6.5,8.2,8.1,8.1,8.1
5039,Algeria,DZA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,157.0
5043,Algeria,DZA,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,158.0
5202,Angola,AGO,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,37.6,37.7,39.0,41.2,41.3
5205,Angola,AGO,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,68.9,70.0,69.5,69.5,69.5
5210,Angola,AGO,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,21.7,20.4,21.5,21.5,21.5
5244,Angola,AGO,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,177.0
5248,Angola,AGO,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,106.0
5407,Antigua and Barbuda,ATG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,59.2,58.8,59.8,59.9,60.3
5410,Antigua and Barbuda,ATG,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,58.1,58.1,58.7,59.0,58.9
5415,Antigua and Barbuda,ATG,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,25.9,25.9,25.9,25.6,25.5
5449,Antigua and Barbuda,ATG,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,113.0
5453,Antigua and Barbuda,ATG,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,145.0
5612,Argentina,ARG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,56.7,57.2,57.3,58.2,59.0
5615,Argentina,ARG,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,45.7,47.5,49.3,49.3,49.3
5620,Argentina,ARG,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,3.9,3.9,3.9,3.6
5654,Argentina,ARG,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,126.0
5658,Argentina,ARG,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,170.0
5817,Armenia,ARM,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,69.1,70.6,71.5,73.2,74.5
5820,Armenia,ARM,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,72.5,72.5,72.5,74.0,81.5
5825,Armenia,ARM,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,19.1,17.6,17.6,17.6,21.8
5859,Armenia,ARM,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,47.0
5863,Armenia,ARM,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,52.0
6022,Australia,AUS,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,80.4,80.2,80.8,80.7,81.2
6025,Australia,AUS,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,85.6,85.6,85.6,85.6,85.7
6030,Australia,AUS,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,26.0,26.0,26.0,26.0,26.1
6064,Australia,AUS,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,14.0
6068,Australia,AUS,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,28.0
6227,Austria,AUT,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,78.8,78.9,78.7,78.7,78.7
6230,Austria,AUT,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,83.4,83.4,83.3,83.5,83.5
6235,Austria,AUT,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,16.8,16.9,17.0,17.1,17.1
6269,Austria,AUT,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,27.0
6273,Austria,AUT,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,44.0
6432,Azerbaijan,AZE,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,65.4,64.3,66.8,73.6,76.7
6435,Azerbaijan,AZE,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,83.8,84.2,84.2,84.6,84.0
6440,Azerbaijan,AZE,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,12.9,13.0,13.0,13.8,12.7
6474,Azerbaijan,AZE,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,34.0
6478,Azerbaijan,AZE,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,40.0
6637,"Bahamas, The",BHS,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.1,56.9,58.6,59.4,59.9
6640,"Bahamas, The",BHS,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,87.1,71.4,74.2,80.1,81.7
6645,"Bahamas, The",BHS,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
6679,"Bahamas, The",BHS,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,119.0
6683,"Bahamas, The",BHS,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,50.0
6842,Bahrain,BHR,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,66.6,68.7,69.1,70.1,76.0
6845,Bahrain,BHR,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,94.4,94.4,93.9,93.9,100.0
6850,Bahrain,BHR,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
6884,Bahrain,BHR,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,43.0
6888,Bahrain,BHR,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,1.0
7047,Bangladesh,BGD,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,40.9,41.0,41.6,42.5,45.0
7050,Bangladesh,BGD,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,56.3,55.8,56.1,56.1,56.1
7055,Bangladesh,BGD,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,30.5,30.5,31.1,31.1,31.1
