"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"ENF.CONT.COEN.ATDR","Enforcing contracts","Alternative dispute resolution (0-3) (DB17-20 methodology)","","The alternative dispute resolution evaluates two aspects: (i) whether domestic commercial arbitration is regulated by law, all disputes can be submitted to arbitration and valid arbitration clauses are usually enforced by courts; and (ii) whether voluntary mediation and/or conciliation are a recognized way of resolving commercial disputes, they are regulated by law and there are financial incentives for parties to attempt mediation of conciliation. The index is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.ATFE.PR","Enforcing contracts","Attorney fees (% of claim)","","The attorney fees are the fees that plaintiff must advance to a local attorney in the standardized case, regardless of final reimbursement.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.COST.ZS","Enforcing contracts","Cost (% of claim)","","The cost to enforce contracts is recorded as a percentage of the claim value, assumed to be equivalent to 200% of income per capita or $5,000, whichever is greater. Three types of costs are recorded: average attorney fees, court costs and enforcement costs. Bribes are not taken into account.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.COST.ZS.DFRN","Enforcing contracts","Score-Cost (% of claim)","","The score for cost to enforce contracts benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.CSMG","Enforcing contracts","Case management (0-6) (DB17-20 methodology)","","The case management evaluates six aspects of the court case management system: (i) whether there are regulations setting time standards for key court events; (ii) whether there are regulations on adjournments and continuances; (iii) whether performance measurement reports are publicly available; (iv) whether a pretrial conference is available; (v) whether an electronic case management system for judges is available; and (vi) whether an electronic case management system for lawyers is available. The index is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.CTAU","Enforcing contracts","Court automation (0-4) (DB17-20 methodology)","","The court automation evaluates four aspects: (i) whether the initial complaint can be filed electronically; (ii) whether the initial complaint can be served electronically; (iii) whether court fees can be paid electronically; and (iv) whether judgments rendered in commercial matters are made available to the public. The index is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.CTFE.PR","Enforcing contracts","Court fees (% of claim)","","The court fees include all costs that plaintiff must advance to the court, regardless of the final cost borne by plaintiff. Court costs include the fees that the parties must pay to obtain an expert opinion, regardless of whether they are paid to the court or to the expert directly.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.CTSP.DB1719","Enforcing contracts","Court structure and proceedings (0-5) (DB17-20 methodology)","","The court structure and proceedings evaluates five aspects of the court system: (i) whether a specialized commercial court, division or section is available; (ii) whether a small claims court and/or simplified procedure for small claims is available; (iii) whether pretrial attachment of defendant's movable assets is available; (iv) whether new cases are assigned randomly and through an automated system to judges; and (v) whether a woman’s testimony in court carries the same evidentiary weight as that of a man's. The index is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.DB0415.DFRN","Enforcing contracts","Score-Enforcing contracts (DB04-15 methodology)","","The score for enforcing contracts is the simple average of the scores for each of the component indicators: the procedures, time and cost for resolving a commercial dispute through a local first-instance court. The score is computed based on the methodology in the DB04-15 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
"ENF.CONT.COEN.DB1719.DFRN","Enforcing contracts","Score-Enforcing contracts (DB17-20 methodology)","","The score for enforcing contracts is the simple average of the scores for each of the component indicators: the time and cost for resolving a commercial dispute through a local first-instance court, as well as the quality of judicial processes that promotes quality and efficiency in the court system. The score is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Efficient contract enforcement is essential to economic development and sustained growth. Economic and social progress cannot be achieved without respect for the rule of law and effective protection of rights, both of which require a well-functioning judiciary that resolves cases in a reasonable time and is predictable and accessible to the public. Economies with a more efficient judiciary, in which courts can effectively enforce contractual obligations, have more developed credit markets and a higher level of development overall. A stronger judiciary is also associated with more rapid growth of small firms. Overall, enhancing the efficiency of the judicial system can improve the business climate, foster innovation, attract foreign direct investment and secure tax revenues.","","","","",
